source,binarize,gt,lt,vol,k,balance_labeled_data,vectorize_label,num_of_training_examples,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
GQ,True,2.0,20.0,100,91,True,True,4,91,2,29,29,100,0.0001,L2,0.01,1.03,0.04,0.04,-0.00041742424242400004,-0.00035353535353500003,99.0,0.04
GQ,True,1.0,5.0,0,57,True,True,2,57,2,36,36,100,0.01,L1,0.001,0.94,0.26,0.92,-0.00213383838384,-0.00017171717171700002,99.0,0.92
GQ,True,0.0,10.0,100,87,True,True,5,87,2,53,53,100,0.01,L1,0.001,1.16,0.07,0.21,-0.000527878787879,-0.000414141414141,99.0,0.21
GQ,True,2.0,20.0,0,47,False,True,16,47,2,14,14,100,0.01,L2,0.1,1.41,0.01,0.01,-0.000126957070707,-9.29292929293e-05,99.0,0.01
GQ,True,1.0,5.0,0,6,False,True,18,6,2,5,5,100,0.001,L1,0.1,1.6,0.01,1.5,-9.57912457912e-05,0.00178333333333,-inf,inf
GQ,True,2.0,10.0,0,20,False,True,14,20,2,13,13,100,0.0001,L2,0.0001,1.39,0.46,0.74,-0.00301904761905,0.000154882154882,63.0,0.73
GQ,True,1.0,100.0,100,80,True,True,4,80,2,73,73,100,0.001,L2,0.0001,1.23,0.22,1.71,-0.0010696969697,0.00480505050505,2.0,1.07
GQ,True,1.0,50.0,100,47,True,True,4,47,2,1,1,100,0.01,L2,0.001,1.16,0.53,0.9,-0.0010196969697,0.00160505050505,-inf,inf
GQ,True,1.0,100.0,0,61,True,True,4,61,2,22,22,100,1.0,L2,0.01,1.2,0.26,1.58,-0.0011446969697000002,0.00398383838384,52.0,1.44
GQ,True,0.0,10.0,0,32,False,True,27,32,2,9,9,100,0.001,L1,0.0001,1.83,0.65,0.58,-0.00402080059858,-0.00012794612794600002,99.0,0.58
GQ,True,0.0,20.0,100,66,False,True,29,66,2,19,19,100,0.1,L1,0.1,1.88,0.14,0.06,-0.00137394636015,-0.000574747474747,99.0,0.06
GQ,True,0.0,5.0,0,87,True,True,4,87,2,3,3,100,0.1,L1,0.01,1.09,0.11,0.9,-2.85353535353e-05,0.00979797979798,3.0,0.18
GQ,True,2.0,50.0,1000,19,True,True,4,19,2,8,8,100,0.0001,L1,0.01,1.0,0.06,3.43,-0.000466666666667,0.00834949494949,-inf,inf
GQ,True,2.0,10.0,100,34,False,True,14,34,2,16,16,100,0.001,L2,0.1,1.4,0.01,0.18,-7.27994227994e-05,0.0007286195286200001,11.0,0.08
GQ,True,0.0,10.0,1000,56,True,True,5,56,2,51,51,100,0.001,L2,0.1,0.98,0.03,0.01,-0.00028202020201999997,-2.92929292929e-05,99.0,0.01
GQ,True,0.0,100.0,0,54,True,True,5,54,2,38,38,100,0.1,L2,0.01,1.03,0.05,2.24,-0.000130303030303,0.004897979797979999,-inf,inf
GQ,True,2.0,5.0,1000,92,True,True,2,92,2,8,8,100,0.01,L2,0.01,0.84,0.03,1.76,-0.00020404040404,-0.000390909090909,99.0,1.76
GQ,True,0.0,100.0,100,21,False,True,30,21,2,18,18,100,1.0,L2,0.01,1.71,0.08,0.08,-0.000654747474747,-0.0005734006734010001,99.0,0.08
