source,binarize,gt,lt,vol,k,balance_labeled_data,vectorize_label,num_of_training_examples,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
GQ,True,0.0,5.0,100,25,False,True,636,25,2,3,3,30,1.0,L1,0.01,4.38,0.48,0.55,-0.00310162293067,0.00114756592292,22.0,0.54
GQ,True,2.0,100.0,100,15,True,True,910,15,2,4,4,30,0.0001,L2,0.01,6.02,0.63,0.73,-0.000688366805608,0.00191134689066,3.0,0.68
GQ,True,1.0,100.0,0,85,False,True,2649,85,2,58,58,30,0.001,L1,0.001,26.66,0.3,0.64,-0.006470535400479999,0.0101320827262,3.0,0.47
GQ,True,2.0,50.0,100,62,True,True,862,62,2,12,12,30,0.001,L2,0.01,5.99,0.35,1.15,-0.00997533135984,0.0243888164026,5.0,0.68
GQ,True,2.0,5.0,100,4,True,True,196,4,2,2,2,30,0.01,L2,0.1,1.43,0.38,0.99,-0.0113536242083,0.010267104543,2.0,0.69
GQ,True,1.0,100.0,100,86,False,True,2649,86,2,6,6,30,0.1,L2,0.0001,18.2,0.53,0.5,-0.000476922542881,-0.000385401489396,29.0,0.5
GQ,True,2.0,50.0,1000,67,True,True,862,67,2,38,38,30,0.01,L2,0.0001,7.21,0.58,0.75,-0.0038014374483300003,0.0028549238894099997,9.0,0.71
GQ,True,0.0,100.0,0,41,False,True,2751,41,2,7,7,30,0.1,L1,0.01,19.34,0.53,0.48,0.000325457409427,0.000198207675823,13.0,0.47
GQ,True,1.0,10.0,100,77,True,True,506,77,2,38,38,30,0.1,L1,0.01,4.39,0.68,0.69,0.000228181363864,-0.000276389328272,29.0,0.69
GQ,True,1.0,5.0,100,60,True,True,246,60,2,2,2,30,0.0001,L1,0.001,1.89,0.63,0.76,-0.00556882534343,0.0049377575363300005,-inf,inf
GQ,True,1.0,10.0,1000,94,False,True,1116,94,2,73,73,30,0.001,L1,0.01,13.3,0.13,1.14,-0.00435147076999,0.00499057375078,-inf,inf
GQ,True,1.0,5.0,0,78,False,True,534,78,2,12,12,30,0.1,L2,0.0001,4.01,0.59,0.63,-0.00219884626975,-0.000705585803589,29.0,0.63
GQ,True,0.0,10.0,1000,51,False,True,1218,51,2,37,37,30,0.0001,L2,0.0001,9.8,0.51,0.58,-0.0048507917634,0.0008776148324310001,22.0,0.57
GQ,True,1.0,20.0,1000,4,True,True,683,4,2,1,1,30,0.01,L1,0.0001,4.6,0.7,0.69,-0.000107588226385,5.13304991341e-05,9.0,0.69
GQ,True,2.0,5.0,100,56,True,True,196,56,2,6,6,30,0.01,L2,0.001,1.49,0.54,0.72,-0.005971029791229999,0.00419622331691,1.0,0.64
GQ,True,1.0,100.0,1000,44,False,True,2649,44,2,11,11,30,0.01,L1,0.0001,17.79,0.54,0.49,0.00112093915292,0.00014800874210799998,20.0,0.49
GQ,True,2.0,100.0,1000,44,False,True,2519,44,2,23,23,30,0.1,L2,0.1,18.55,0.42,0.53,-0.00222849789873,0.000933333333333,14.0,0.51
GQ,True,1.0,100.0,1000,70,False,True,2649,70,2,25,25,30,0.0001,L2,0.01,19.69,0.17,1.02,-0.0058865848314,0.0221099036749,-inf,inf
GQ,True,2.0,20.0,1000,59,True,True,632,59,2,49,49,30,0.01,L1,0.1,5.72,0.7,0.74,-0.000798450458315,0.00426901622718,4.0,0.71
GQ,True,2.0,100.0,1000,80,True,True,910,80,2,58,58,30,1.0,L2,0.1,8.14,0.7,0.7,-0.000444688644689,-0.000491600353669,29.0,0.7
GQ,True,0.0,50.0,100,15,False,True,2436,15,2,5,5,30,0.1,L1,0.001,15.23,0.51,0.52,0.000523785931337,7.517505615000001e-05,27.0,0.52
GQ,True,0.0,20.0,0,32,False,True,1688,32,2,4,4,30,0.1,L2,0.001,11.22,0.5,0.53,5.88059051043e-05,2.16549183972e-05,27.0,0.53
GQ,True,1.0,100.0,1000,18,False,True,2649,18,2,11,11,30,0.001,L2,0.01,17.55,0.37,0.53,-0.00221001635837,0.0026577424316,1.0,0.46
GQ,True,0.0,100.0,0,81,False,True,2751,81,2,32,32,30,1.0,L1,0.001,22.44,0.48,0.47,-2.80900988983e-05,-7.99922072862e-05,29.0,0.47
GQ,True,1.0,20.0,1000,14,False,True,1586,14,2,1,1,30,0.0001,L1,0.001,9.97,0.5,0.51,-0.00020010581090299998,0.00017738336713999994,17.0,0.51
GQ,True,1.0,10.0,1000,38,False,True,1116,38,2,32,32,30,1.0,L1,0.001,8.46,0.55,0.53,-0.000788736456145,-8.16620978213e-05,29.0,0.53
GQ,True,1.0,50.0,100,90,True,True,912,90,2,52,52,30,0.0001,L2,0.01,8.92,0.15,1.71,-0.00510054950595,0.0230293807178,3.0,0.75
GQ,True,0.0,20.0,0,7,True,True,721,7,2,6,6,30,1.0,L1,0.0001,4.88,0.68,0.7,-0.00121421397484,0.0006709956709959999,15.0,0.69
GQ,True,0.0,5.0,100,18,True,True,284,18,2,15,15,30,0.01,L2,0.01,2.15,0.22,1.42,-0.00589699692407,0.0154582626719,-inf,inf
GQ,True,1.0,20.0,0,29,False,True,1586,29,2,3,3,30,0.01,L2,0.0001,10.36,0.56,0.54,-0.00189088431824,-0.00036091954023,29.0,0.54
GQ,True,1.0,20.0,0,86,False,True,1586,86,2,33,33,30,0.0001,L2,0.0001,12.57,0.44,0.53,-0.00257251670508,0.00034249492900599994,26.0,0.53
GQ,True,2.0,5.0,100,1,False,True,403,1,2,1,1,30,0.001,L2,0.01,2.67,0.58,0.63,0.0010755255126800002,-0.000564539569296,29.0,0.63
GQ,True,1.0,10.0,1000,56,False,True,1116,56,2,39,39,30,0.01,L2,0.01,9.53,0.25,0.77,-0.006652731429979999,0.0100370797865,1.0,0.52
GQ,True,0.0,5.0,1000,35,False,True,636,35,2,25,25,30,1.0,L2,0.0001,1.24,,0.77,,0.0,29.0,0.77
GQ,True,2.0,5.0,100,25,False,True,403,25,2,12,12,30,0.01,L2,0.01,0.78,,0.79,,0.0,29.0,0.79
GQ,True,1.0,20.0,100,52,False,True,1586,52,2,20,20,30,0.1,L1,0.0001,2.35,,0.98,,-1.11022302463e-16,29.0,0.98
