source,binarize,gt,lt,vol,k,balance_labeled_data,vectorize_label,num_of_training_examples,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
GQ,True,2.0,50.0,0,41,False,True,2204,41,2,5,5,20,0.01,L2,0.1,3.06,0.61,0.59,-0.00809948061482,-0.0008266614629800001,19.0,0.59
GQ,True,0.0,100.0,1000,23,False,True,2751,23,2,8,8,20,0.1,L2,0.0001,3.97,0.64,0.71,-0.00374377448011,0.00022903657448700005,5.0,0.7
GQ,True,0.0,5.0,0,45,False,True,636,45,2,33,33,20,0.1,L2,0.0001,1.04,0.65,0.69,-0.00430109195955,-0.000175503095975,19.0,0.69
GQ,True,0.0,100.0,1000,35,False,True,2751,35,2,10,10,20,0.01,L1,0.1,3.78,0.6,0.59,-0.00436784950734,-0.00631592328278,19.0,0.59
GQ,True,2.0,5.0,0,78,False,True,403,78,2,51,51,20,0.001,L1,0.01,0.67,0.24,0.53,-0.012580284583499999,-0.00519691470054,19.0,0.53
GQ,True,2.0,20.0,1000,91,False,True,1456,91,2,47,47,20,0.1,L1,0.001,2.45,0.69,0.69,0.000324891007283,0.000110998650472,10.0,0.69
GQ,True,0.0,50.0,100,30,False,True,2436,30,2,14,14,20,0.0001,L2,0.1,3.3,0.48,0.61,-0.00808379462832,-0.0009142468239560002,5.0,0.52
GQ,True,2.0,10.0,1000,61,False,True,986,61,2,34,34,20,1.0,L1,0.001,1.47,0.69,0.69,-4.04421313541e-05,-8.48091793459e-06,19.0,0.69
GQ,True,0.0,20.0,100,54,False,True,1688,54,2,34,34,20,1.0,L2,0.01,2.54,0.7,0.69,2.07813510006e-05,-1.99185809829e-05,19.0,0.69
GQ,True,1.0,50.0,100,3,False,True,2334,3,2,1,1,20,0.0001,L1,0.0001,3.21,0.68,0.68,0.000112665378963,1.27894736843e-05,17.0,0.68
GQ,True,0.0,50.0,1000,51,False,True,2436,51,2,38,38,20,1.0,L2,0.01,3.48,0.7,0.69,9.07715138925e-05,-1.94595684615e-05,19.0,0.69
