source,binarize,gt,lt,vol,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
G,True,0,10.0,0,29,2,5,5,20,1.0,L2,0.0001,3.3,0.41,0.42,-0.00382603945762,-0.00310032894737,19.0,0.42
G,True,0,10.0,0,29,2,10,10,20,0.001,L2,0.01,3.32,0.3,0.28,0.000167502088555,0.00180442583732,10.0,0.27
G,True,0,10.0,0,29,2,10,10,20,0.001,L1,0.01,3.23,0.15,0.3,-0.00223645652593,0.0008371710526319999,14.0,0.29
G,True,0,10.0,0,29,2,50,50,20,0.001,L1,0.001,4.1,0.25,0.27,0.000325171904119,0.000125,10.0,0.27
G,True,0,10.0,0,29,2,15,15,20,1.0,L1,0.0001,3.35,0.43,0.46,-0.0028019086177,-0.00307819976077,19.0,0.46
G,True,0,10.0,0,29,2,50,50,20,0.01,L2,0.001,4.04,0.17,0.28,0.00202785810681,-0.00038636363636400004,9.0,0.27
G,True,0,10.0,0,29,2,50,50,20,0.001,L1,0.01,4.14,0.13,0.29,-0.00038953152111,0.000110197368421,3.0,0.27
G,True,0,10.0,0,29,2,5,5,20,1.0,L2,0.001,3.27,0.22,0.29,-0.00794563331405,-0.0008365729665069999,19.0,0.29
G,True,0,10.0,0,29,2,100,100,20,0.001,L2,0.001,5.14,0.2,0.27,0.000282244071718,-8.22368421053e-05,19.0,0.27
G,True,0,10.0,0,29,2,5,5,20,1.0,L2,0.01,3.25,0.11,0.3,0.000994826810616,-1.28588516746e-05,19.0,0.3
G,True,0,10.0,0,29,2,50,50,20,0.01,L2,0.1,3.93,0.21,0.29,-0.000705899363794,-0.000746261961723,19.0,0.29
G,True,0,10.0,0,29,2,5,5,20,0.01,L2,0.1,3.25,0.23,0.27,0.00464780541096,-0.000211872009569,19.0,0.27
G,True,0,10.0,0,29,2,5,5,20,1.0,L2,0.0001,3.21,0.37,0.41,-0.005096491228069999,-0.00330592105263,19.0,0.41
G,True,0,10.0,0,29,2,15,15,20,0.0001,L1,0.01,3.33,0.17,0.29,-0.00353923269713,0.00145020933014,12.0,0.27
G,True,0,10.0,0,29,2,50,50,20,0.01,L1,0.001,4.17,0.14,0.28,-0.00198232761391,0.000286483253588,-inf,inf
G,True,0,10.0,0,29,2,1,1,20,0.001,L1,0.01,2.98,0.16,0.28,-0.000929053402738,0.000422697368421,-inf,inf
G,True,0,10.0,0,29,2,5,5,20,0.1,L2,0.0001,3.28,0.37,0.41,-0.010691408007200002,-0.006550538277510001,19.0,0.41
G,True,0,10.0,0,29,2,50,50,20,0.001,L2,0.1,3.95,0.07,0.38,-0.0030597326650000003,0.00532924641148,10.0,0.34
G,True,0,10.0,0,29,2,10,10,20,0.001,L1,0.01,3.21,0.16,0.28,0.00178038043828,-0.0006715011961719999,3.0,0.27
G,True,0,10.0,0,29,2,100,100,20,1.0,L2,0.001,5.16,0.22,0.27,0.0006228712807660001,2.54186602871e-05,18.0,0.27
G,True,0,10.0,0,29,2,2,2,20,1.0,L1,0.001,3.07,0.22,0.29,-0.00126916650601,-0.000887709330144,19.0,0.29
G,True,0,10.0,0,29,2,50,50,20,0.001,L2,0.001,3.98,0.19,0.27,-0.00247291305186,0.00033059210526299997,17.0,0.27
G,True,0,10.0,0,29,2,2,2,20,1.0,L1,0.001,3.05,0.21,0.29,-0.00122742754322,-0.00132371411483,19.0,0.29
G,True,0,10.0,0,29,2,50,50,20,0.0001,L1,0.01,4.22,0.1,0.29,-0.00362904055009,0.004366626794260001,2.0,0.26
G,True,0,10.0,0,29,2,15,15,20,0.0001,L1,0.1,3.48,0.08,0.42,-0.00400645845383,0.0171438397129,4.0,0.26
G,True,0,10.0,0,29,2,50,50,20,0.0001,L2,0.1,4.32,0.08,0.57,-0.0040926033031300005,0.0144717404306,2.0,0.27
G,True,0,10.0,0,29,2,1,1,20,0.001,L1,0.1,3.33,0.1,0.34,-0.00459999357368,0.00609345095694,8,0.28
