source,binarize,gt,lt,vol,balance_labeled_data,num_of_training_examples,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
G,True,0,10.0,0,False,819,29,2,10,10,100,0.0001,L2,0.1,19.08,0.02,0.51,-0.000152995152995,-0.000293244949495,3,0.27
G,True,0,10.0,0,False,819,29,2,2,2,100,0.01,L1,0.001,17.7,0.07,0.31,-0.000625694059027,0.000460921717172,22,0.28
G,True,0,10.0,0,False,819,29,2,10,10,100,0.0001,L1,0.01,18.69,0.08,0.4,-0.0008309431309430003,0.00341649449036,54,0.26
G,True,0,10.0,0,False,819,29,2,10,10,100,0.0001,L1,0.1,19.14,0.01,0.6,-0.000130166130166,0.00061069214876,2,0.27
G,True,0,10.0,0,False,819,29,2,2,2,100,1.0,L2,0.1,19.4,0.19,0.27,0.00043167819834500016,-0.000151830808081,99,0.27
G,True,0,10.0,0,False,819,29,2,100,100,100,0.0001,L1,0.0001,34.24,0.22,0.28,0.0018949988283299998,0.000135933195592,8,0.27
G,True,0,10.0,0,False,819,29,2,50,50,100,0.1,L2,0.001,23.17,0.05,0.31,-0.000385510785511,0.000304275711662,2,0.26
G,True,0,10.0,0,False,819,29,2,10,10,100,0.0001,L1,0.01,18.62,0.06,0.49,-0.000564933831601,0.0033473484848499995,7,0.27
G,True,0,10.0,0,False,819,29,2,100,100,100,0.001,L1,0.0001,33.61,0.11,0.3,-0.00101562264896,0.0008305555555560001,18,0.27
G,True,0,10.0,0,False,819,29,2,50,50,100,1.0,L1,0.01,24.46,0.31,0.27,-0.00033728863728900004,-3.32759412305e-05,5,0.26
G,True,0,10.0,0,False,819,29,2,10,10,100,1.0,L2,0.0001,19.4,0.27,0.33,-0.0014975986976,-0.0006160296143250001,99,0.33
G,True,0,10.0,0,False,819,29,2,5,5,100,0.0001,L2,0.1,19.62,0.01,0.61,-7.82489115822e-05,0.000542590679523,2,0.3
G,True,0,10.0,0,True,86,29,2,100,100,100,0.001,L1,0.001,3.35,0.58,0.72,-0.0004780244303500001,-0.000357841573631,99,0.72
G,True,0,10.0,0,True,86,29,2,2,2,100,0.1,L2,0.01,1.9,0.43,1.12,0.0035830749354,-0.0030230728336,9,0.73
G,True,0,10.0,0,True,86,29,2,2,2,100,0.01,L1,0.001,1.82,0.31,1.01,-0.00254371623209,0.004776927166399999,19,0.7
G,True,0,10.0,0,True,86,29,2,100,100,100,0.001,L1,0.001,3.37,0.37,1.2,-0.00365039934226,0.011509994683700002,19,0.7
