source,binarize,gt,lt,vol,balance_labeled_data,num_of_training_examples,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
Q,True,0.0,10.0,0,False,5983,6,2,4,4,20,0.0001,L2,0.1,25.7,0.58,0.57,7.94267969775e-05,0.0005420190491830001,18.0,0.57
Q,True,0.0,10.0,0,False,5983,6,2,10,10,20,0.0001,L2,0.01,26.05,0.53,0.56,-0.000243668464157,-0.00017731340832599998,19.0,0.56
Q,True,0.0,10.0,0,False,5983,6,2,10,10,20,0.01,L1,0.01,25.52,0.54,0.57,-0.000635559523914,0.000266031693899,9.0,0.56
G,True,0.0,10.0,0,False,819,5,2,100,100,100,0.1,L1,0.001,32.12,0.61,0.58,4.06827740161e-05,-0.00017070133149699998,32.0,0.57
Q,True,0.0,10.0,0,False,5983,6,2,15,15,20,0.001,L2,0.1,25.57,0.53,0.57,-0.0017891745911700005,-0.00045773462517500004,19.0,0.57
G,True,0.0,10.0,0,False,819,5,2,1,1,100,0.0001,L1,0.01,17.41,0.36,0.62,-0.00038567605234300016,0.00037056359045,61.0,0.59
Q,True,0.0,10.0,0,False,5983,6,2,15,15,20,0.001,L1,0.01,25.1,0.55,0.57,0.00023354328492099997,-0.00010608424337,9.0,0.56
G,True,0.0,10.0,0,False,819,5,2,2,2,100,1.0,L2,0.01,18.55,0.38,0.64,-0.00142049062049,0.00106870982553,8.0,0.58
G,True,0.0,10.0,0,False,819,5,2,10,10,100,0.0001,L2,0.01,18.94,0.22,0.92,-0.00220088923422,0.0074086662075300005,14.0,0.58
Q,True,0.0,10.0,0,False,5983,6,2,2,2,20,0.001,L2,0.0001,25.03,0.56,0.56,-0.0015014426841,2.95385499631e-05,16.0,0.56
G,True,0.0,10.0,0,False,819,5,2,1,1,100,1.0,L2,0.01,18.41,0.48,0.59,0.000877755577756,-0.000183603076217,33.0,0.58
Q,True,0.0,10.0,0,False,5983,6,2,5,5,20,0.01,L1,0.0001,24.27,0.58,0.57,-0.000792407435101,-0.000348119714262,19.0,0.57
G,True,0.0,10.0,0,False,819,5,2,100,100,100,0.1,L2,0.0001,27.48,0.53,0.58,-0.00222026492026,0.000702485078053,1.0,0.57
Q,True,0.0,10.0,0,False,5983,6,2,4,4,20,0.1,L1,0.001,23.8,0.58,0.56,0.0008091214581659999,4.83824616142e-05,16.0,0.56
G,True,0.0,10.0,0,False,819,5,2,100,100,100,0.0001,L2,0.001,29.27,0.52,0.57,0.0005482381815709999,-0.000184521349862,99.0,0.57
Q,True,0.0,10.0,0,False,5983,6,2,5,5,20,1.0,L2,0.1,25.98,0.56,0.58,-0.0008804067665399998,-0.0007665038180469999,12.0,0.57
G,True,0.0,10.0,0,False,819,5,2,10,10,100,0.1,L2,0.001,19.0,0.42,0.62,0.00131415498082,-0.000502553948577,11.0,0.59
Q,True,0.0,10.0,0,False,5983,6,2,1,1,20,0.1,L2,0.001,23.98,0.56,0.56,0.0014056801287899998,0.00025166269808700003,18.0,0.56
G,True,0.0,10.0,0,False,819,5,2,100,100,100,0.001,L2,0.1,28.31,0.29,0.75,-0.00121665001665,0.000533034894398,35.0,0.58
G,True,0.0,10.0,0,False,819,5,2,100,100,100,0.0001,L1,0.001,33.07,0.31,0.7,-3.38217338217e-05,-0.000107948806244,11.0,0.59
Q,True,0.0,50.0,0,False,8639,6,2,15,15,20,1.0,L2,0.01,37.63,0.56,0.57,0.0006910004203700001,-3.04956069265e-05,19.0,0.57
G,True,0.0,50.0,0,False,1615,5,2,1,1,100,0.0001,L2,0.01,35.77,0.48,0.57,-0.00216111330018,0.00175486074619,16.0,0.45
Q,True,0.0,50.0,0,False,8639,6,2,2,2,20,0.001,L1,0.01,34.62,0.55,0.57,-0.000142581682822,-0.000206758793255,12.0,0.56
G,True,0.0,50.0,0,False,1615,5,2,15,15,100,0.0001,L2,0.1,38.82,0.13,1.34,-0.00124837914751,0.009002154492910001,3.0,0.46
Q,True,0.0,50.0,0,False,8639,6,2,10,10,20,1.0,L2,0.001,36.83,0.52,0.57,-0.00119279156335,-3.30120276379e-05,5.0,0.56
G,True,0.0,50.0,0,False,1615,5,2,15,15,100,0.001,L1,0.0001,37.93,0.51,0.48,0.00158479031804,0.000922715595259,57.0,0.46
Q,True,0.0,50.0,0,False,8639,6,2,15,15,20,0.001,L2,0.1,37.32,0.55,0.58,-0.00023753053776900005,4.37174784611e-05,4.0,0.57
G,True,0.0,50.0,0,False,1615,5,2,2,2,100,0.0001,L1,0.01,36.19,0.35,0.65,-0.000980687994496,0.00256224966427,7.0,0.45
Q,True,0.0,50.0,0,False,8639,6,2,4,4,20,1.0,L2,0.01,36.64,0.55,0.56,0.0005425030918539999,6.619466007e-05,18.0,0.56
G,True,0.0,50.0,0,True,592,30,2,50,50,100,0.01,L2,0.0001,16.11,0.66,0.71,-3.90492765493e-05,1.13099498926e-05,41.0,0.7
Q,True,0.0,50.0,0,True,3987,6,2,10,10,20,1.0,L2,0.01,16.07,0.7,0.69,6.76342851108e-05,4.61680517105e-06,14.0,0.69
G,True,0.0,50.0,0,True,592,30,2,10,10,100,0.001,L1,0.001,13.03,0.53,0.81,-0.003569420556920001,0.00428406903682,20.0,0.69
Q,True,0.0,50.0,0,True,3987,6,2,2,2,20,1.0,L2,0.001,15.92,0.69,0.69,-8.37920610405e-05,6.09418282549e-05,17.0,0.69
G,True,0.0,50.0,0,True,592,30,2,1,1,100,0.0001,L1,0.001,12.63,0.68,0.71,3.70393120392e-05,-0.000164654418198,8.0,0.7
Q,True,0.0,50.0,0,True,3987,6,2,15,15,20,0.001,L2,0.0001,17.1,0.69,0.7,-0.000512085329954,0.000236688211757,14.0,0.7
G,True,0.0,50.0,0,True,592,30,2,15,15,100,0.0001,L2,0.001,13.85,0.43,0.85,-0.00355903289653,0.004316702457649999,30.0,0.69
Q,True,0.0,50.0,0,True,3987,6,2,10,10,20,0.01,L2,0.1,16.56,0.7,0.71,-0.0006680923527780001,-0.0007080640196980001,15.0,0.7
G,True,0.0,50.0,0,True,592,30,2,5,5,100,1.0,L2,0.001,13.82,0.67,0.71,0.00017891755391799996,-0.000147967867653,23.0,0.69
Q,True,0.0,50.0,0,True,3987,6,2,4,4,20,0.1,L1,0.01,15.99,0.69,0.7,8.42408881496e-05,-0.000189442905509,19.0,0.7
G,True,0.0,50.0,0,True,592,30,2,5,5,100,0.0001,L2,0.1,13.68,0.06,1.96,-0.000583125170625,0.0013993637159,1.0,0.69
G,True,0.0,50.0,0,True,592,30,2,2,2,100,0.01,L2,0.001,13.48,0.64,0.75,-0.0018541581354100001,0.00255705877674,40.0,0.69
Q,True,0.0,50.0,0,True,3987,6,2,1,1,20,0.0001,L2,0.1,16.11,0.69,0.71,-0.000715905640701,0.000308864265928,5.0,0.7
G,True,0.0,50.0,0,True,592,30,2,5,5,100,0.1,L2,0.01,14.03,0.69,0.7,6.55473655473e-05,-2.80601288476e-05,99.0,0.7
Q,True,0.0,50.0,0,True,3987,6,2,5,5,20,0.001,L2,0.0001,16.67,0.7,0.7,-0.000454833471942,-0.000140627885503,19.0,0.7
Q,True,0.0,50.0,0,True,3987,6,2,3,3,20,0.0001,L1,0.001,15.92,0.69,0.69,-0.000125209562657,4.15204678362e-05,14.0,0.69
G,True,0.0,50.0,0,True,592,30,2,100,100,100,0.001,L2,0.01,20.91,0.15,2.12,-0.0014803269178299998,0.0007164002227,10.0,0.75
G,True,0.0,50.0,0,True,592,30,2,10,10,100,0.01,L2,0.0001,13.73,0.59,0.78,-0.000282299344799,0.00078479280999,41.0,0.71
Q,True,0.0,50.0,0,True,3987,6,2,5,5,20,0.01,L2,0.01,16.49,0.69,0.7,-9.66100352462e-05,-0.000477870113881,19.0,0.7
G,True,0.0,50.0,0,True,592,30,2,10,10,500,1.0,L2,0.01,98.43,0.57,0.82,7.75312110708e-05,-7.29891278619e-05,2.0,0.69
G,True,0.0,50.0,0,True,592,30,2,1,1,500,0.01,L1,0.01,94.38,0.3,1.69,-0.000608571061041,0.0037145150142800006,37.0,0.69
G,True,0.0,50.0,0,True,592,30,2,10,10,500,0.1,L1,0.01,98.54,0.52,0.93,-0.0004607024860530001,0.000545828980796,6.0,0.7
G,True,0.0,50.0,0,True,592,30,2,15,15,500,0.0001,L1,0.0001,99.11,0.39,1.13,-0.0007555182662619999,0.0020452741703900004,145.0,0.7
G,True,0.0,50.0,0,True,592,30,2,15,15,500,0.1,L1,0.001,98.72,0.36,1.43,-0.000713334168337,0.00278675177126,147.0,0.7
G,True,0.0,50.0,0,True,592,30,2,10,10,500,1.0,L1,0.0001,98.53,0.47,1.01,0.0006548226182089999,-0.000399191138182,32.0,0.7
Q,True,0.0,50.0,0,True,3987,6,2,4,4,500,0.01,L2,0.01,647.08,0.69,0.7,-8.11146044283e-05,0.00012934659963200002,487.0,0.7
G,True,0.0,50.0,0,True,592,30,2,5,5,500,0.01,L1,0.01,96.26,0.65,0.74,-0.000208234103342,0.000280811386553,62.0,0.69
G,True,0.0,50.0,0,True,592,30,2,50,50,500,0.001,L2,0.01,110.68,0.04,2.04,-7.51678356713e-05,-0.0008873693844380001,5.0,0.72
G,True,0.0,50.0,0,True,592,30,2,15,15,500,1.0,L1,0.0001,98.99,0.45,1.03,0.000408213927856,-0.000172007006138,1.0,0.69
G,True,0.0,50.0,0,True,592,30,2,15,15,500,0.1,L2,0.0001,100.69,0.49,0.94,-0.0007606793993389999,0.0008754075079289999,41.0,0.69
Q,True,0.0,50.0,0,True,3987,6,2,4,4,500,1.0,L2,0.0001,650.33,0.51,0.91,-0.00018393789837,0.000266019711939,-inf,inf
Q,True,0.0,50.0,0,True,3987,6,2,15,15,500,0.0001,L2,0.001,679.41,0.35,1.53,-0.000675197658925,0.00395669078508,18.0,0.69
Q,True,0.0,50.0,0,True,3987,6,2,5,5,500,0.1,L1,0.1,744.48,0.7,0.71,-1.09966006756e-05,1.59407938684e-05,396.0,0.7
Q,True,0.0,50.0,0,True,3987,6,2,3,3,500,0.01,L1,0.001,692.08,0.67,0.71,-6.71411546438e-06,9.666115852180001e-08,169.0,0.69
Q,True,0.0,50.0,0,True,3989,4,2,4,4,500,0.001,L1,0.1,669.39,0.7,0.71,-7.6155921771e-06,-3.37273845937e-05,54.0,0.7
Q,True,2.0,20.0,0,True,2541,4,2,4,4,500,0.01,L2,0.1,433.9,0.69,0.71,2.84441058426e-05,1.99356801839e-05,17.0,0.7
Q,True,2.0,20.0,0,True,2541,4,2,3,3,500,0.01,L1,0.01,434.61,0.67,0.71,-8.16548642345e-05,5.64607155484e-06,299.0,0.69
Q,True,2.0,20.0,0,True,2541,4,2,10,10,500,0.001,L2,0.0001,427.98,0.62,0.78,-0.000487993917784,0.0006435750176830001,12.0,0.69
Q,True,2.0,20.0,0,True,2541,4,2,4,4,500,0.01,L2,0.0001,430.65,0.62,0.78,-0.000227505400411,0.000326845087233,2.0,0.69
G,True,1.0,50.0,0,False,1596,4,2,15,15,20,0.1,L2,0.0001,6.83,0.49,0.52,-0.00313151299301,-0.000286780547861,19.0,0.52
G,True,1.0,50.0,0,False,1596,4,2,1,1,20,0.0001,L1,0.01,6.3,0.46,0.51,0.000198291782087,-0.0002743151739,19.0,0.51
G,True,1.0,50.0,0,False,1596,4,2,10,10,20,0.001,L1,0.0001,6.25,0.47,0.51,-0.00183707624324,6.88673437981e-05,16.0,0.51
G,True,1.0,50.0,0,False,1596,4,2,1,1,20,0.1,L1,0.001,5.96,0.48,0.51,0.00133394341116,-0.00017782394583,19.0,0.51
Q,True,2.0,20.0,0,False,5501,4,2,10,10,20,0.0001,L2,0.001,22.03,0.56,0.53,-0.00040842813268400003,2.97531360207e-05,17.0,0.53
G,True,1.0,50.0,0,False,1596,4,2,50,50,20,0.0001,L1,0.001,7.75,0.51,0.51,-0.000449248120301,-6.92520775624e-05,19.0,0.51
G,True,1.0,50.0,0,False,1596,4,2,10,10,20,0.01,L2,0.001,6.44,0.5,0.51,-0.00116397902651,5.5324715297000004e-05,16.0,0.51
G,True,1.0,50.0,0,False,1596,4,2,1,1,20,0.01,L2,0.01,6.31,0.52,0.51,-0.000318988260124,-3.60110803324e-05,19.0,0.51
Q,True,2.0,20.0,0,False,5501,4,2,2,2,20,1.0,L2,0.001,22.13,0.53,0.53,0.00063181335451,-7.07780902638e-05,19.0,0.53
G,True,1.0,50.0,0,False,1596,4,2,100,100,20,0.001,L1,0.01,11.6,0.44,0.54,-0.0012280536868499998,-0.000746614342875,9.0,0.53
G,True,1.0,50.0,0,False,1596,4,2,1,1,20,0.001,L2,0.0001,6.56,0.54,0.56,-0.00478304313415,-0.00232887042167,19.0,0.56
G,True,1.0,50.0,0,False,1596,4,2,15,15,20,0.01,L1,0.1,6.62,0.51,0.53,0.000665166204986,-0.000917590027701,8.0,0.52
Q,True,2.0,20.0,0,False,5501,4,2,3,3,20,0.0001,L1,0.0001,22.07,0.54,0.53,-0.0011494130253800001,-1.56689433507e-05,19.0,0.53
Q,True,2.0,20.0,0,False,5501,4,2,3,3,20,0.01,L2,0.0001,22.41,0.59,0.56,-0.00145316640993,-0.0011299272353900002,19.0,0.56
