source,binarize,gt,lt,vol,balance_labeled_data,num_of_training_examples,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
Q,True,2.0,20.0,0,False,5501,4,2,3,3,20,0.0001,L2,0.001,22.96,0.58,0.54,0.000565988002181,0.0002685147984470001,12.0,0.53
Q,True,2.0,20.0,0,False,5501,4,2,15,15,20,0.001,L1,0.01,23.16,0.53,0.54,0.000486280006506,9.96384089996e-05,13.0,0.53
Q,True,2.0,20.0,0,False,5501,4,2,1,1,20,1.0,L2,0.001,22.03,0.51,0.53,-0.0008707172858520001,0.00024527922860599996,18.0,0.53
Q,True,2.0,20.0,0,False,5501,3,2,3,3,20,0.1,L2,0.1,22.59,0.54,0.56,-0.0007285230436569999,0.000747087183608,18.0,0.56
G,True,1.0,50.0,0,False,1596,5,2,1,1,20,1.0,L1,0.01,6.08,0.48,0.51,-0.0015359286373800001,0.0003554170514,18.0,0.51
G,True,1.0,50.0,0,False,1596,5,2,50,50,20,1.0,L2,0.01,8.07,0.44,0.52,-0.00115148067537,-0.0005820252385349999,4.0,0.51
Q,True,2.0,20.0,0,False,5501,3,2,2,2,20,0.001,L2,0.1,22.28,0.57,0.56,-0.000634277021403,-0.000245435471631,19.0,0.56
G,True,1.0,50.0,0,False,1596,5,2,10,10,20,0.1,L2,0.1,6.6,0.57,0.53,0.00157860110803,0.00140689442906,15.0,0.52
G,True,1.0,50.0,0,False,1596,5,2,100,100,20,0.01,L2,0.0001,9.96,0.44,0.52,-0.000317174515235,0.000142813173284,4.0,0.51
G,True,1.0,50.0,0,False,1596,5,2,15,15,20,0.001,L1,0.01,6.68,0.47,0.51,-7.77931671284e-05,-0.00034710680209300017,19.0,0.51
Q,True,2.0,20.0,0,False,5501,3,2,2,2,20,0.001,L1,0.01,21.21,0.51,0.56,0.0005847692763990001,-0.000370920941029,19.0,0.56
G,True,1.0,50.0,0,False,1596,5,2,50,50,20,0.1,L1,0.1,7.8,0.5,0.53,0.00190855428044,-0.00100954139735,19.0,0.53
G,True,1.0,50.0,0,False,1596,5,2,10,10,20,0.1,L1,0.001,6.29,0.47,0.51,-0.0012693576045400001,5.3862726993e-06,16.0,0.51
G,True,1.0,50.0,0,False,1596,5,2,10,10,20,0.01,L1,0.1,6.51,0.57,0.54,0.00246334586466,0.000254847645429,14.0,0.53
Q,True,2.0,20.0,0,False,5501,3,2,3,3,20,0.001,L2,0.01,22.21,0.57,0.56,0.00068139764062,-0.000215012722646,19.0,0.56
G,True,1.0,50.0,0,False,1596,5,2,1,1,20,0.001,L2,0.0001,6.26,0.49,0.53,-0.0022922107901300003,-0.0009515235457060002,19.0,0.53
G,True,1.0,50.0,0,False,1596,5,2,10,10,20,0.1,L2,0.01,6.75,0.49,0.51,0.00032431407466000005,-0.000322791628193,19.0,0.51
Q,True,2.0,20.0,0,False,5501,3,2,2,2,20,0.01,L2,0.0001,21.65,0.56,0.57,-0.0006557850725709999,-0.000547230034373,19.0,0.57
Q,True,2.0,20.0,0,False,5501,3,2,1,1,20,1.0,L1,0.01,21.43,0.55,0.56,0.000614443306958,0.000313378867015,17.0,0.56
Q,True,1.0,50.0,10000,False,6265,3,2,4,4,20,1.0,L2,0.0001,24.37,0.55,0.54,-0.0007312849162010003,-0.000469330927916,19.0,0.54
Q,True,1.0,50.0,10000,False,6265,3,2,4,4,20,1.0,L1,0.01,23.56,0.5,0.53,-0.000323346074684,0.000113224566633,18.0,0.53
G,True,1.0,50.0,10000,False,1348,5,2,15,15,20,0.01,L1,0.01,5.39,0.4,0.46,-0.00295347883804,0.00018357311965,13.0,0.45
G,True,1.0,50.0,10000,False,1348,5,2,5,5,20,0.0001,L1,0.1,5.15,0.47,0.5,-0.006631364204279999,0.004371790202149999,3.0,0.46
G,True,1.0,50.0,10000,False,1348,5,2,50,50,20,0.01,L1,0.1,6.46,0.52,0.47,0.00160555598938,-0.00110772172646,19.0,0.47
Q,True,1.0,50.0,10000,False,6265,3,2,3,3,20,0.001,L1,0.001,23.81,0.52,0.53,0.000385378250095,-2.86493058278e-05,19.0,0.53
G,True,1.0,50.0,10000,False,1348,5,2,100,100,20,0.001,L2,0.01,8.22,0.48,0.47,0.0016497149773499998,0.0029851575305,3.0,0.45
G,True,1.0,50.0,10000,False,1348,5,2,5,5,20,0.0001,L1,0.01,5.14,0.52,0.47,-0.000319713415586,0.0008809870697499998,6.0,0.45
G,True,1.0,50.0,10000,False,1348,5,2,100,100,20,0.01,L2,0.1,8.27,0.47,0.48,-0.0043809737623,0.000194864323438,18.0,0.48
G,True,1.0,50.0,10000,False,1348,5,2,5,5,20,0.01,L1,0.01,5.17,0.47,0.45,-0.00040445884741500016,5.78218903661e-05,18.0,0.45
Q,True,1.0,50.0,10000,False,6265,3,2,15,15,20,0.001,L1,0.0001,24.87,0.54,0.53,0.000225433695972,-0.000111302847282,19.0,0.53
G,True,1.0,50.0,10000,False,1348,5,2,5,5,20,0.01,L2,0.01,5.33,0.42,0.45,-0.00238046618772,0.00011901293025000001,15.0,0.45
G,True,1.0,50.0,10000,False,1348,5,2,100,100,20,0.01,L1,0.1,9.39,0.53,0.48,-0.00090596204904,0.000910125660171,18.0,0.48
G,True,1.0,50.0,10000,False,1348,5,2,2,2,20,0.01,L1,0.0001,5.11,0.57,0.53,-0.0009523270342030001,-0.00232826443271,19.0,0.53
Q,True,1.0,50.0,10000,False,6265,3,2,10,10,20,0.01,L1,0.01,24.03,0.54,0.53,0.000518456756416,0.000101615813005,16.0,0.53
Q,True,1.0,50.0,10000,False,6265,3,2,1,1,20,0.001,L1,0.0001,23.28,0.56,0.55,-0.0019243499811,-0.00111120480038,19.0,0.55
Q,True,1.0,50.0,10000,False,6265,3,2,10,10,20,0.001,L2,0.001,24.51,0.51,0.53,0.000253988322762,-0.000119519177975,19.0,0.53
Q,True,1.0,50.0,10000,False,6265,3,2,2,2,20,0.01,L1,0.0001,23.15,0.54,0.54,-0.0007847187801910001,-0.000766883677151,19.0,0.54
Q,True,1.0,50.0,10000,False,6265,3,2,3,3,20,1.0,L2,0.0001,24.71,0.54,0.54,-0.00129992019154,-0.000387873558711,19.0,0.54
Q,True,1.0,50.0,10000,False,6265,3,2,4,4,20,0.1,L1,0.01,23.56,0.5,0.53,-0.00109597597345,0.000509843909326,18.0,0.53
Q,True,1.0,50.0,10000,False,4176,10,2,4,4,20,0.0001,L2,0.1,17.3,0.51,0.55,-0.00181233615648,0.00338324022346,7.0,0.53
Q,True,1.0,50.0,10000,False,4176,10,2,4,4,20,1.0,L1,0.1,16.44,0.54,0.54,0.000984371849163,-0.00040055865921800003,19.0,0.54
Q,True,1.0,50.0,10000,False,4176,10,2,4,4,20,0.0001,L1,0.001,16.48,0.55,0.53,0.000101816142367,8.8503381358e-06,18.0,0.53
Q,True,1.0,50.0,10000,False,4176,10,2,1,1,20,0.001,L2,0.01,16.42,0.52,0.53,0.0008787999092560001,-0.000140546897971,19.0,0.53
Q,True,1.0,50.0,10000,False,4176,10,2,5,5,20,0.01,L1,0.0001,17.07,0.49,0.54,-0.00126493496673,-0.00010676271684799998,19.0,0.54
G,True,1.0,50.0,10000,False,1348,15,2,100,100,20,0.01,L1,0.0001,10.73,0.45,0.45,0.0006796618772450001,4.64396284829e-05,16.0,0.45
Q,True,1.0,50.0,10000,False,4176,10,2,10,10,20,1.0,L1,0.01,17.72,0.54,0.53,-0.000574498386772,-0.00017450749779499998,19.0,0.53
G,True,1.0,50.0,10000,False,1348,15,2,100,100,20,0.001,L2,0.001,9.55,0.45,0.45,-0.0022406293924699997,-0.0001402294664,19.0,0.45
G,True,1.0,50.0,10000,False,1348,15,2,1,1,20,0.1,L1,0.001,5.88,0.45,0.46,0.0017107410588800005,-0.000135039154981,19.0,0.46
G,True,1.0,50.0,10000,False,1348,15,2,1,1,20,1.0,L1,0.0001,5.82,0.55,0.55,-0.004774207402779999,-0.0042777271899500004,19.0,0.55
Q,True,1.0,50.0,10000,False,4176,10,2,5,5,20,0.0001,L2,0.0001,18.31,0.51,0.53,-0.000785163339383,5.8129961776e-05,11.0,0.53
G,True,1.0,50.0,10000,False,1348,15,2,1,1,20,0.01,L1,0.001,5.36,0.47,0.46,-0.0012221614868,-0.000449098524859,19.0,0.46
G,True,1.0,50.0,10000,False,1348,15,2,5,5,20,0.0001,L1,0.01,5.6,0.42,0.46,-0.0007787755739500003,0.0013750682935699998,12.0,0.45
G,True,1.0,50.0,10000,False,1348,15,2,15,15,20,0.001,L1,0.1,5.95,0.37,0.51,-0.0054568366390799995,0.00573811691859,8.0,0.46
Q,True,1.0,50.0,10000,False,4176,10,2,5,5,20,1.0,L1,0.0001,16.85,0.54,0.55,-0.0020222323049000003,-0.000832490443987,19.0,0.55
G,True,1.0,50.0,10000,False,1348,15,2,50,50,20,0.1,L2,0.0001,6.95,0.48,0.46,-0.000574847727628,-0.000283919140412,19.0,0.46
G,True,1.0,50.0,10000,False,1348,15,2,100,100,20,0.01,L2,0.001,9.83,0.46,0.45,0.00292573793534,0.0007810963394650001,17.0,0.45
G,True,1.0,50.0,10000,False,1348,15,2,10,10,20,0.001,L2,0.1,6.37,0.41,0.49,-0.00708740043729,0.00488836277545,5.0,0.45
Q,True,1.0,50.0,10000,False,4176,10,2,15,15,20,0.01,L2,0.01,19.51,0.5,0.54,-0.00122699258923,-6.20111731843e-05,13.0,0.53
Q,True,1.0,50.0,10000,False,4176,10,2,1,1,20,0.0001,L1,0.01,16.36,0.54,0.53,-2.18794111716e-05,0.000387150837989,18.0,0.53
G,True,1.0,50.0,10000,False,1348,15,2,1,1,50,0.001,L1,0.001,13.56,0.38,0.46,-9.70659480409e-05,5.6493185509e-06,21.0,0.45
G,True,1.0,50.0,10000,False,1348,15,2,50,50,50,0.1,L1,0.001,18.75,0.43,0.46,-0.0009695815418160001,-6.26933126192e-05,49.0,0.46
G,True,1.0,50.0,10000,False,1348,15,2,15,15,50,0.1,L1,0.01,15.34,0.5,0.45,0.000349754738691,-2.51818374409e-05,49.0,0.45
G,True,1.0,50.0,10000,False,1348,15,2,2,2,50,0.01,L1,0.01,14.85,0.53,0.46,0.00100069036517,0.000368759268413,12.0,0.45
G,True,1.0,50.0,10000,False,1348,15,2,15,15,50,0.01,L1,0.01,15.94,0.55,0.47,0.0006364773208990001,0.000417343407951,39.0,0.46
G,True,1.0,50.0,10000,False,1348,15,2,5,5,50,0.01,L1,0.0001,16.14,0.58,0.51,0.000621628413977,-0.00028482451804199996,49.0,0.51
G,True,1.0,50.0,10000,False,1348,15,2,100,100,50,0.0001,L2,0.001,23.28,0.4,0.47,-0.00396187246412,0.00228520584704,30.0,0.45
G,True,1.0,50.0,10000,False,1348,15,2,2,2,50,0.01,L2,0.0001,14.69,0.46,0.46,-0.0008368679222430001,-0.000261860038133,49.0,0.46
G,True,1.0,50.0,10000,False,1348,15,2,2,2,50,0.001,L2,0.0001,14.1,0.52,0.52,-0.0029151940895100004,-0.00143057693666,49.0,0.52
G,True,1.0,50.0,10000,False,1348,15,2,2,2,50,1.0,L2,0.01,13.9,0.45,0.45,-0.000484454672077,-2.78511404561e-05,49.0,0.45
G,True,1.0,50.0,10000,False,1348,30,2,10,10,100,0.1,L2,0.01,30.78,0.48,0.45,0.000219266852501,-7.1650763692199985e-06,99.0,0.45
G,True,1.0,50.0,10000,False,1348,30,2,1,1,100,0.001,L1,0.01,29.42,0.29,0.68,-0.00154389967929,0.000743493761141,23.0,0.45
G,True,1.0,50.0,10000,False,1348,30,2,5,5,100,0.1,L1,0.1,30.22,0.48,0.46,-0.000475234541258,-0.00016351403306400002,1.0,0.45
G,True,1.0,50.0,10000,False,1348,30,2,100,100,100,0.001,L1,0.0001,56.24,0.52,0.47,0.000143315199472,5.09209744504e-05,42.0,0.45
G,True,1.0,50.0,10000,False,1348,30,2,2,2,100,0.0001,L2,0.1,31.15,0.13,1.32,-0.00125240985523,0.00586959910524,-inf,inf
G,True,1.0,50.0,10000,False,1348,30,2,2,2,100,1.0,L2,0.0001,30.36,0.28,0.48,-0.0016885741689900001,0.000334385376254,75.0,0.48
G,True,1.0,50.0,10000,False,1348,30,2,100,100,100,0.01,L1,0.01,53.14,0.54,0.48,-0.000219977969607,-0.00028104225647500005,49.0,0.46
G,True,1.0,50.0,10000,False,1348,30,2,50,50,100,0.001,L1,0.01,37.75,0.19,0.74,-0.00124415070587,0.00165851945056,3.0,0.45
G,True,1.0,50.0,10000,False,1348,30,2,15,15,100,0.001,L2,0.1,33.06,0.16,0.75,-0.00141597503222,0.00224806892454,10.0,0.47
G,True,1.0,50.0,10000,False,1348,30,2,15,15,100,1.0,L1,0.01,30.82,0.43,0.46,0.00042249348080199996,-7.92946768725e-05,19.0,0.45
GQ,True,0.0,10.0,0,False,755,95,2,2,2,20,0.001,L1,0.1,3.05,0.34,0.67,-0.00706336702684,0.0108551007147,5.0,0.5
GQ,True,0.0,10.0,0,False,755,95,2,5,5,20,0.01,L2,0.01,3.12,0.56,0.51,0.0013904844893699998,-0.0006453866146849999,6.0,0.5
GQ,True,0.0,10.0,0,False,755,95,2,100,100,20,0.01,L2,0.0001,5.56,0.43,0.51,-0.00107936563262,0.000122482131254,5.0,0.5
GQ,True,0.0,10.0,0,False,755,95,2,1,1,20,0.1,L1,0.0001,2.84,0.5,0.52,-0.00385716277449,-0.0007586094866799999,19.0,0.52
GQ,True,0.0,10.0,0,False,755,95,2,10,10,20,0.001,L2,0.001,3.25,0.51,0.5,-0.0026447891251300004,-8.49577647823e-05,19.0,0.5
GQ,True,0.0,10.0,0,False,755,95,2,1,1,20,0.0001,L1,0.0001,2.91,0.58,0.54,0.00205500174277,-0.00059681611436,19.0,0.54
GQ,True,0.0,10.0,0,False,755,95,2,100,100,20,0.001,L2,0.001,5.77,0.31,0.57,-0.00279773440223,0.00241228070175,4.0,0.51
GQ,True,0.0,10.0,0,False,755,95,2,10,10,20,0.1,L1,0.01,3.25,0.5,0.5,-0.00032586266992,4.15854450942e-05,15.0,0.5
GQ,True,0.0,10.0,0,False,755,95,2,15,15,20,0.1,L2,0.1,3.78,0.45,0.52,0.00026092715231799995,0.00108512020793,18.0,0.51
GQ,True,0.0,10.0,0,False,755,95,2,10,10,20,0.1,L2,0.01,3.55,0.37,0.53,-0.00313210177762,0.0016689408707,6.0,0.5
