source,binarize,gt,lt,vol,k,balance_labeled_data,vectorize_label,num_of_training_examples,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
GQ,True,0.0,5.0,0,67,False,True,18,67,2,64,64,100,1.0,L1,0.001,1.58,0.55,0.52,-0.00222789001122,-0.00193333333333,99.0,0.52
GQ,True,1.0,50.0,0,18,False,True,23,18,2,11,11,100,1.0,L2,0.0001,1.53,0.31,0.3,-6.83355292052e-05,-6.70033670033e-05,99.0,0.3
GQ,True,1.0,100.0,100,45,False,True,23,45,2,30,30,100,1.0,L1,0.1,1.75,0.01,0.01,-0.000131181379007,-0.000111111111111,99.0,0.01
GQ,True,2.0,5.0,1000,6,False,True,8,6,2,5,5,100,1.0,L2,0.1,1.21,0.15,3.33,-0.00144116161616,0.015168686868700001,4.0,0.4
GQ,True,0.0,20.0,1000,53,False,True,23,53,2,37,37,100,1.0,L1,0.0001,1.66,0.5,0.66,-0.000819235836627,-0.00017239057238999998,99.0,0.66
GQ,True,1.0,100.0,1000,10,False,True,23,10,2,6,6,100,1.0,L2,0.01,1.72,0.09,0.09,-0.0007148001756700001,-0.000663636363636,99.0,0.09
GQ,True,2.0,20.0,100,21,False,True,12,21,2,16,16,100,0.01,L1,0.001,1.27,0.17,1.11,-0.00094898989899,0.00262272727273,-inf,inf
GQ,True,2.0,5.0,100,9,False,True,8,9,2,7,7,100,0.0001,L1,0.01,1.12,0.12,0.12,-0.00100593434343,-0.00102323232323,99.0,0.12
GQ,True,1.0,20.0,1000,28,False,True,22,28,2,11,11,100,0.001,L2,0.01,1.64,0.05,0.04,-0.000367493112948,-0.00033737373737400005,99.0,0.04
GQ,True,2.0,5.0,0,14,False,True,8,14,2,9,9,100,0.1,L1,0.01,1.2,0.1,0.11,-0.00014898989899,-0.000193939393939,99.0,0.11
