source,binarize,gt,lt,vol,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_derivative,last_mean_validation_loss_derivative,best_last_epoch,best_last_mean_validation_loss
G,True,0,50.0,0,85,2,1,1.0,20.0,1.0,L2,0.01,0.59,0.7,0.69,-8.940620782939999e-06,-6.96594427252e-06,19.0,0.69
G,True,0,50.0,0,85,2,1,1.0,20.0,1.0,L2,0.1,0.58,0.72,0.68,-1.88933873143e-05,4.02476780186e-05,19.0,0.68
G,True,0,50.0,0,85,2,1,1.0,20.0,1.0,L1,0.0001,0.58,0.69,0.68,5.92105263159e-05,6.57894736842e-05,19.0,0.68
G,True,0,50.0,0,85,2,1,1.0,20.0,1.0,L1,0.001,0.57,0.7,0.7,-0.0005919365722000001,9.13312693499e-05,3.0,0.67
G,True,0,50.0,0,85,2,1,1.0,20.0,1.0,L1,0.01,0.57,0.7,0.69,-1.07962213226e-05,-5.41795665621e-06,0.0,0.68
G,True,0,50.0,0,85,2,1,1.0,20.0,1.0,L1,0.1,0.63,0.71,0.68,-1.51821862349e-05,-9.13312693498e-05,19.0,0.68
G,True,0,50.0,0,85,2,2,2.0,20.0,0.0001,L2,0.0001,0.63,0.78,0.88,-0.00101383265857,-0.0016261609907100001,19.0,0.88
G,True,0,50.0,0,85,2,2,2.0,20.0,0.0001,L2,0.001,0.61,0.72,0.76,-0.00137803643725,-0.0029133126935,19.0,0.76
G,True,0,50.0,0,85,2,2,2.0,20.0,0.0001,L2,0.01,0.61,0.7,0.68,-0.000635458839406,-0.00028792569659400017,0.0,0.66
G,True,0,50.0,0,85,2,2,2.0,20.0,0.0001,L2,0.1,0.61,0.68,0.65,-0.00420226045884,0.000819659442724,19.0,0.65
G,True,0,50.0,0,85,2,2,2.0,20.0,0.0001,L1,0.0001,0.6,0.7,0.67,-6.30904183536e-05,7.66253869969e-05,19.0,0.67
G,True,0,50.0,0,85,2,2,2.0,20.0,0.0001,L1,0.001,0.61,0.69,0.69,1.68690958164e-05,0.00024613003096000003,3.0,0.68
G,True,0,50.0,0,85,2,2,2.0,20.0,0.0001,L1,0.01,0.6,0.7,0.69,-0.00014979757085,-6.73374613004e-05,0.0,0.68
G,True,0,50.0,0,85,2,2,2.0,20.0,0.0001,L1,0.1,0.6,0.66,0.64,-0.004625,-0.0005108359133130001,19.0,0.64
G,True,0,50.0,0,85,2,2,2.0,20.0,0.001,L2,0.0001,0.64,0.69,0.68,-9.44669365721e-06,6.9659442724100005e-06,19.0,0.68
G,True,0,50.0,0,85,2,2,2.0,20.0,0.001,L2,0.001,0.61,0.69,0.7,-3.20512820511e-05,-0.000138544891641,19.0,0.7
G,True,0,50.0,0,85,2,2,2.0,20.0,0.001,L2,0.01,0.62,0.7,0.69,-0.00012314439946,-4.25696594427e-05,1.0,0.68
G,True,0,50.0,0,85,2,2,2.0,20.0,0.001,L2,0.1,0.62,0.65,0.66,-0.00430094466937,-0.0006153250773990001,19.0,0.66
G,True,0,50.0,0,85,2,2,2.0,20.0,0.001,L1,0.0001,0.61,0.71,0.76,-0.00025826585695,-0.000600619195046,19.0,0.76
G,True,0,50.0,0,85,2,2,2.0,20.0,0.001,L1,0.001,0.6,0.69,0.69,-4.84143049931e-05,5.49535603716e-05,17.0,0.68
G,True,0,50.0,0,85,2,2,2.0,20.0,0.001,L1,0.01,0.6,0.7,0.69,-0.000251518218623,-0.000208204334365,19.0,0.69
G,True,0,50.0,0,85,2,2,2.0,20.0,0.001,L1,0.1,0.6,0.66,0.64,-0.00412230094467,0.00146517027864,17.0,0.63
G,True,0,50.0,0,85,2,2,2.0,20.0,0.01,L2,0.0001,0.62,0.75,0.68,-0.000749493927126,-0.000178018575851,19.0,0.68
G,True,0,50.0,0,85,2,2,2.0,20.0,0.01,L2,0.001,0.62,0.77,0.82,-0.004071187584349999,-0.006475232198140001,19.0,0.82
G,True,0,50.0,0,85,2,2,2.0,20.0,0.01,L2,0.01,0.62,0.7,0.69,-1.8556005397799998e-06,2.94117647058e-05,0.0,0.68
G,True,0,50.0,0,85,2,2,2.0,20.0,0.01,L2,0.1,0.62,0.72,0.67,-3.39068825911e-05,0.000131578947368,19.0,0.67
G,True,0,50.0,0,85,2,2,2.0,20.0,0.01,L1,0.0001,0.6,0.73,0.66,-0.00036673414305,1.93498452012e-05,19.0,0.66
G,True,0,50.0,0,85,2,2,2.0,20.0,0.01,L1,0.001,0.59,0.71,0.67,-0.000915148448043,0.0006346749226,19.0,0.67
G,True,0,50.0,0,85,2,2,2.0,20.0,0.01,L1,0.01,0.6,0.7,0.69,-1.3495276654e-06,4.7213622291000004e-05,19.0,0.69
G,True,0,50.0,0,85,2,2,2.0,20.0,0.01,L1,0.1,0.6,0.72,0.68,-0.000107456140351,4.5665634675e-05,6.0,0.67
G,True,0,50.0,0,85,2,2,2.0,20.0,0.1,L2,0.0001,0.63,0.73,0.66,-0.000543016194332,-2.24458204334e-05,19.0,0.66
G,True,0,50.0,0,85,2,2,2.0,20.0,0.1,L2,0.001,0.62,0.73,0.68,-0.00178255735493,0.000554953560372,19.0,0.68
G,True,0,50.0,0,85,2,2,2.0,20.0,0.1,L2,0.01,0.62,0.7,0.69,-2.47975708502e-05,0.000113777089783,19.0,0.69
G,True,0,50.0,0,85,2,2,2.0,20.0,0.1,L2,0.1,0.62,0.72,0.68,-0.00010391363022900004,8.43653250775e-05,14.0,0.67
G,True,0,50.0,0,85,2,2,2.0,20.0,0.1,L1,0.0001,0.61,0.73,0.8,-0.00047503373819199996,-0.0009264705882350001,19.0,0.8
G,True,0,50.0,0,85,2,2,2.0,20.0,0.1,L1,0.001,0.61,0.7,0.68,-0.000282388663968,0.000698142414861,1.0,0.66
G,True,0,50.0,0,85,2,2,2.0,20.0,0.1,L1,0.01,0.6,0.7,0.69,-0.00024443319838099995,0.00014628482972100002,19.0,0.69
G,True,0,50.0,0,85,2,2,2.0,20.0,0.1,L1,0.1,0.6,0.72,0.68,-3.7955465587e-05,-4.95356037151e-05,19.0,0.68
G,True,0,50.0,0,85,2,2,2.0,20.0,1.0,L2,0.0001,0.62,0.7,0.67,-0.00031713900135000005,0.000292569659443,19.0,0.67
G,True,0,50.0,0,85,2,2,2.0,20.0,1.0,L2,0.001,0.62,0.7,0.7,-0.000313259109312,0.00042879256965900014,4.0,0.67
G,True,0,50.0,0,85,2,2,2.0,20.0,1.0,L2,0.01,0.62,0.7,0.69,-2.02429149798e-05,6.346749226e-05,0.0,0.68
G,True,0,50.0,0,85,2,2,2.0,20.0,1.0,L2,0.1,0.63,0.72,0.68,-2.7834008097e-05,-1.93498452012e-05,7.0,0.67
G,True,0,50.0,0,85,2,2,2.0,20.0,1.0,L1,0.0001,0.61,0.7,0.71,-0.000297908232119,-0.000427244582043,19.0,0.71
G,True,0,50.0,0,85,2,2,2.0,20.0,1.0,L1,0.001,0.6,0.69,0.69,-4.7064777328e-05,0.00017647058823500004,0.0,0.67
G,True,0,50.0,0,85,2,2,2.0,20.0,1.0,L1,0.01,0.6,0.7,0.69,-8.60323886642e-06,7.58513931888e-05,1.0,0.68
G,True,0,50.0,0,85,2,2,2.0,20.0,1.0,L1,0.1,0.6,0.71,0.68,-1.65317139e-05,-0.000193498452012,19.0,0.68
G,True,0,50.0,0,85,2,5,5.0,20.0,0.0001,L2,0.0001,0.63,0.84,0.97,-0.00250961538462,-0.0035263157894699997,19.0,0.97
G,True,0,50.0,0,85,2,5,5.0,20.0,0.0001,L2,0.001,0.62,0.7,0.71,-0.000428812415655,-0.00118343653251,19.0,0.71
G,True,0,50.0,0,85,2,5,5.0,20.0,0.0001,L2,0.01,0.63,0.68,0.67,-0.0009733468286100001,-0.0007182662538700001,19.0,0.67
G,True,0,50.0,0,85,2,5,5.0,20.0,0.0001,L2,0.1,0.63,0.63,0.64,-0.005010627530359999,0.0041253869969,17.0,0.63
G,True,0,50.0,0,85,2,5,5.0,20.0,0.0001,L1,0.0001,0.63,0.7,0.71,-1.8556005397999996e-05,-0.000104489164087,19.0,0.71
G,True,0,50.0,0,85,2,5,5.0,20.0,0.0001,L1,0.001,0.61,0.7,0.72,-0.00050826585695,-0.00137306501548,19.0,0.72
G,True,0,50.0,0,85,2,5,5.0,20.0,0.0001,L1,0.01,0.61,0.69,0.68,-0.0006145411605939999,-0.0005139318885450001,19.0,0.68
G,True,0,50.0,0,85,2,5,5.0,20.0,0.0001,L1,0.1,0.69,0.62,0.66,-0.00537871120108,0.00589473684211,12.0,0.63
G,True,0,50.0,0,85,2,5,5.0,20.0,0.001,L2,0.0001,0.69,0.73,0.79,-0.000594973009447,-0.00109674922601,19.0,0.79
