source,binarize,gt,lt,vol,k,balance_labeled_data,vectorize_label,num_of_training_examples,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
GQ,True,0.0,50.0,1000,45,True,True,5,45,2,34,34,100,0.1,L2,0.1,1.23,0.05,2.77,-0.00026969696969700004,0.0122636363636,-inf,inf
GQ,True,2.0,50.0,1000,86,True,True,4,86,2,77,77,100,0.0001,L1,0.001,1.09,0.05,2.19,-0.0003722222222219999,0.000975757575758,-inf,inf
GQ,True,0.0,20.0,0,89,True,True,5,89,2,17,17,100,0.01,L2,0.0001,1.18,0.25,0.41,-0.0014214141414100002,0.00154343434343,-inf,inf
GQ,True,0.0,5.0,0,42,True,True,4,42,2,37,37,100,0.0001,L2,0.01,1.16,0.02,2.01,-0.000241666666667,0.00463838383838,-inf,inf
GQ,True,0.0,20.0,1000,93,True,True,5,93,2,27,27,100,0.01,L2,0.01,1.18,0.01,2.7,-0.000109696969697,0.00104343434343,-inf,inf
GQ,True,1.0,50.0,1000,55,True,True,4,55,2,24,24,100,0.0001,L1,0.01,1.08,0.04,3.23,-0.000268686868687,0.00414242424242,-inf,inf
GQ,True,1.0,50.0,1000,53,True,True,4,53,2,19,19,100,1.0,L1,0.1,1.15,0.06,0.06,-0.000544444444444,-0.00046767676767699997,99.0,0.06
GQ,True,1.0,20.0,1000,28,True,True,4,28,2,6,6,100,0.01,L1,0.1,1.04,0.03,0.05,-0.000236363636364,-0.000179797979798,99.0,0.05
GQ,True,1.0,5.0,0,43,True,True,2,43,2,36,36,100,0.0001,L2,0.1,0.94,0.0,0.0,-2.07070707071e-05,-1.91919191919e-05,99.0,0.0
GQ,True,1.0,20.0,0,54,True,True,4,54,2,20,20,100,0.0001,L2,0.01,0.97,0.03,1.36,-0.000260606060606,0.00368686868687,-inf,inf
GQ,True,1.0,50.0,1000,31,True,True,4,31,2,19,19,100,0.001,L1,0.01,1.01,0.03,0.33,-0.00016919191919199998,-0.0010818181818199998,99.0,0.33
