source,binarize,gt,lt,vol,k,balance_labeled_data,vectorize_label,num_of_training_examples,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
GQ,True,2.0,50.0,1000,53,True,True,253,53,2,39,39,100,0.001,L2,0.01,4.44,0.12,1.59,-0.0011868550859200002,0.00410129068462,4.0,0.71
GQ,True,0.0,20.0,100,65,True,True,238,65,2,32,32,100,0.01,L2,0.01,3.69,0.09,1.83,-0.000395888692898,-0.000658387799565,2.0,0.72
GQ,True,0.0,100.0,1000,75,True,True,294,75,2,51,51,100,0.01,L1,0.01,5.25,0.22,1.1,-0.00154704651579,0.00220532307199,16.0,0.58
GQ,True,2.0,5.0,1000,2,True,True,60,2,2,1,1,100,0.0001,L1,0.0001,0.79,0.7,0.7,-8.1894605205e-06,-3.25563325563e-05,99.0,0.7
GQ,True,2.0,100.0,0,28,True,True,257,28,2,1,1,100,1.0,L2,0.001,2.95,0.69,0.69,2.81456929596e-06,-7.89715335237e-07,99.0,0.69
GQ,True,2.0,50.0,1000,36,True,True,253,36,2,4,4,100,0.0001,L1,0.001,3.25,0.21,1.08,-0.000438035826232,0.00305658436214,5.0,0.69
GQ,True,1.0,5.0,100,72,True,True,78,72,2,50,50,100,0.001,L1,0.1,0.67,0.36,1.83,0.0,0.0015292929292899998,8.0,1.0
GQ,True,0.0,50.0,100,40,True,True,289,40,2,34,34,100,0.0001,L1,0.1,5.09,0.11,2.68,-0.00120882849522,0.00352264581297,5.0,0.67
GQ,True,1.0,10.0,100,53,True,True,175,53,2,18,18,100,1.0,L2,0.01,2.58,0.7,0.69,1.61931308695e-07,-2.87742287742e-05,99.0,0.69
GQ,True,1.0,100.0,1000,75,True,True,275,75,2,36,36,100,1.0,L1,0.01,4.3,0.69,0.69,-2.58321333709e-05,2.38144153398e-05,90.0,0.69
GQ,True,1.0,20.0,0,62,True,True,219,62,2,21,21,100,1.0,L2,0.01,3.55,0.7,0.69,-2.37007050574e-06,2.01375456695e-05,96.0,0.69
GQ,True,2.0,50.0,0,21,True,True,253,21,2,8,8,100,0.001,L1,0.0001,3.59,0.68,0.73,-0.000844614208607,-0.000181967826412,99.0,0.73
GQ,True,1.0,100.0,1000,88,True,True,275,88,2,30,30,100,1.0,L1,0.01,4.59,0.69,0.69,-1.63984100854e-07,2.71700051362e-05,98.0,0.69
GQ,True,2.0,100.0,1000,68,True,True,257,68,2,34,34,100,0.0001,L2,0.0001,3.4,0.28,1.07,-0.000424250968721,0.0029497337006399995,20.0,0.82
GQ,True,1.0,20.0,0,41,True,True,219,41,2,8,8,100,0.001,L1,0.01,3.24,0.05,1.93,-0.000482603573385,0.00307988394584,1.0,0.67
